condition_ID,sspec_ID,condition,keywords,patient_description,scheduling_priority,scheduling_timeframe,special_instructions,bidec_question,true_scaler
11,1,Bladder Spasms,bladder spasms,Bladder spasms,STANDARD,Next Available,,"Do you experience sudden, strong urges to urinate or find yourself needing to go frequently throughout the day?",1.15
12,1,Blood in Urine,blood in urine hematuria,Blood in urine hematuria,ELEVATED,1-3 weeks,,"Have you noticed any blood or pink coloring when you urinate? I know this can be worrying, so I want to help.",1.3
13,1,Botox,botox bladder treatment,Botox treatment for bladder issues,STANDARD,Next Available,,"Are you interested in Botox treatment for overactive bladder, perhaps after other approaches haven't provided enough relief?",1.1
14,1,Bowel Leakage,bowel leakage fecal incontinence,Bowel or fecal leakage,ELEVATED,1-3 weeks,,"I understand this can be a sensitive topic. Have you experienced any accidental leakage of stool or difficulty controlling gas?",1.25
15,0,Breast Lump,breast lump breast mass breast discomfort breast pain breast redness,Breast discomfort lump mass pain or redness,URGENT,Transfer to Nurse,Transfer to nurse immediately,"Have you discovered a new lump or change in your breast that has persisted? I want to make sure we get you the right care.",1.25
16,0,Breastfeeding Issues,breastfeeding problems lactation,Breastfeeding or lactation issues,URGENT,Transfer to Nurse,Transfer to nurse immediately,"If you're breastfeeding, are you experiencing any challenges like latching difficulties, pain, or concerns about milk supply?",1.1
17,1,Chronic Urinary Infections,chronic UTI recurrent UTI frequent UTI 3 or more infections,Recurrent or frequent urinary tract infections 3 or more within 1 year,STANDARD,Next Available,,"Are you currently experiencing burning or discomfort when urinating? Have UTIs been a recurring issue for you?",1.2
18,0,Colposcopy,colposcopy abnormal pap office procedure,Office procedure for abnormal PAP smear,STANDARD,Next Available,,"Have you been referred for a colposcopy procedure following an abnormal Pap or HPV test result?",1.2
19,0,Contraceptive Implant Consult,IUD consult intrauterine device birth control device,Consultation for IUD or contraceptive implant discussion to order device,STANDARD,Next Available,Patient will not receive device same day,"Are you interested in learning more about contraceptive implant options like Nexplanon?",1.2
20,1,Cystocele,cystocele bladder bulge vagina,Bulge of bladder into vagina,ELEVATED,1-3 weeks,,"Have you noticed any uncomfortable pressure or a bulging sensation in your vaginal area, especially when you've been on your feet?",1.2
21,1,Cystoscopy,cystoscopy office procedure,Office procedure for established patients with doctor order,STANDARD,Based on Physician Order,Established patients only with physician order required,"Are you calling to schedule a cystoscopy procedure that your doctor ordered to evaluate your urinary symptoms?",1.2
22,0,Depo Provera,depo injection birth control DMPA contraception,Depo provera injection for birth control,STANDARD,Schedule when patient has medication 3 months from last visit,,"Are you here for your Depo-Provera birth control injection?",1.15
23,1,Difficulty Urinating,difficulty urinating urinary retention unable to urinate foley catheter,Urinary retention unable to urinate or has foley catheter,URGENT,Do Not Schedule,Refer to RHD Urology,"Are you having trouble starting to urinate or feeling like your bladder isn't emptying completely?",1.2
24,0,Ectopic Pregnancy,ectopic pregnancy pregnant in tubes miscarriage,Ectopic pregnancy management pregnant in tubes,CRITICAL,0-3 days,If nothing available send CRM to Front Desk Surgical Scheduling and Clinical Team,"This is important - do you have a positive pregnancy test along with one-sided pelvic pain or unusual bleeding?",1.35
25,0,Endometrial Biopsy,endometrial biopsy,Endometrial biopsy procedure,STANDARD,Next Available,,"Has your doctor recommended an endometrial biopsy to evaluate bleeding or other concerns?",1.2
26,0,Endometriosis,endometriosis,Endometriosis consultation,STANDARD,Next Available,Consult only. New patients schedule as telehealth on Monday first,"Do you experience significant pelvic pain that tends to worsen around your menstrual period?",1.2
27,1,Fecal Incontinence,fecal incontinence bowel control,Fecal incontinence loss of bowel control,ELEVATED,14-21 days,Send CRM to clinical team if unsure,"I understand this can be difficult to discuss. Have you had any episodes of accidental bowel leakage or difficulty controlling gas?",1.25
28,0,Fibroids,fibroids uterine fibroids,Fibroids or uterine fibroids,STANDARD,Next Available,,"Have you been told through an ultrasound or exam that you have uterine fibroids?",1.3
29,0,Gardasil,gardasil HPV shot HPV vaccine,Gardasil HPV vaccination 3-series preventative shot,STANDARD,0 2 months 6 months,Three-dose series schedule,"Are you interested in receiving the HPV (Gardasil) vaccine for protection?",1.1
30,1,Gas Incontinence,gas incontinence unable to control gas,Gas incontinence cannot control gas,ELEVATED,14-21 days,,"I understand this can be embarrassing to discuss. Have you had any difficulty controlling gas or experienced accidental leakage?",1.25
31,0,Gender Affirming Care,gender affirming care transgender care born female,Transgender care for patients born female only,STANDARD,1-3 months,Born female only,"Are you seeking gender-affirming care, such as hormone therapy or surgical consultations?",1.15
32,0,General GYN Issues,gynecology exam burning itching irritation vaginal area painful urination irregular menstruation discharge odor bumps,Gynecology exam burning itching irritation painful urination irregular periods discharge odor bumps,STANDARD,Next Available,,"Do you have a specific symptom you'd like to have evaluated today - such as pain, unusual bleeding, or discharge?",1.1
33,0,Gynecological Surgery Consult,surgery consult removal growth hysterectomy second opinion,Gynecological surgery consultation removal of growth hysterectomy second opinion,STANDARD,Next Available,,"Has a healthcare provider suggested that you might benefit from gynecologic surgery, or are you seeking a second opinion?",1.1
34,0,Heavy Bleeding,heavy bleeding menstrual,Heavy menstrual bleeding,STANDARD,Next Available,,"Are you experiencing periods that seem unusually heavy or prolonged compared to what's normal for you?",1.15
35,0,Hormone Replacement Therapy,hormone replacement therapy menopause HRT,Hormone replacement therapy for menopause,STANDARD,Next Available,,"Are you experiencing menopausal symptoms and interested in discussing hormone therapy options?",1.1
36,1,Hysterectomy Transgender,hysterectomy transgender gender affirming surgery born female,Hysterectomy consult for transgender or gender affirming surgery born female only,ELEVATED,7-14 days,Born female only. Do not see patients born male,"Are you interested in discussing a hysterectomy as part of your gender-affirming care?",1.1
37,1,Hysterectomy VNOTES,hysterectomy VNOTES vaginal hysterectomy procedure,VNOTES procedure or vaginal hysterectomy,ELEVATED,7-14 days,,"Has your doctor discussed a VNOTES or vaginal hysterectomy procedure with you?",1.1
38,0,Hysteroscopy,hysteroscopy procedure in office,Hysteroscopy in-office procedure,STANDARD,By Doctor Order,In-office procedure by doctor order,"Are you calling to schedule a hysteroscopy that your doctor has ordered?",1.15
39,0,Incision Check,incision check post surgical c-section surgery follow-up,Check surgical site after surgery first checkup after c-section or GYN surgery,STANDARD,1 week from discharge for c-section 2 weeks for GYN surgery,Schedule with physician who performed procedure. C-section 1 week GYN surgery 2 weeks,"Are you calling to schedule your post-surgery incision check-up?",1.15
40,0,Infertility,infertility IVF reproductive assistance,Infertility or IVF services,URGENT,Do Not Schedule,Refer to RMA. We do not provide this service,"Have you been trying to become pregnant for 12 months or more (or 6 months if you're over 35) without success?",1.2
41,1,Interstitial Cystitis,interstitial cystitis chronic bladder condition painful bladder syndrome,Interstitial cystitis chronic bladder pressure pain painful bladder syndrome,ELEVATED,14-21 days,Not same as UTI,"Do you experience chronic bladder pressure or pain that seems to improve somewhat after urinating?",1.2
42,0,IUD Insertion,IUD insertion intrauterine device placement uterus,IUD insertion into uterus after consult and device arrival,STANDARD,Next Available,With provider who counseled and ordered. Device must be in office,"Are you ready to have your IUD placed? Has the device already arrived at the office?",1.25
43,0,IUD Removal,IUD removal intrauterine device removal uterus,IUD removal from uterus,STANDARD,Next Available,Never guarantee same-day removal at provider discretion,"Do you currently have an IUD that you'd like to have removed?",1.25
44,1,Labia Hypertrophy,labia hypertrophy enlarged labia,Labia hypertrophy or enlargement,STANDARD,Next Available,,"Are you experiencing discomfort or concerns related to labial size that affects your daily activities or comfort?",1.1
45,0,Labial Adhesion,labial adhesion fused labia,Labial adhesion or fusion,STANDARD,Next Available,,"Has a healthcare provider mentioned labial adhesions as a concern for you or your child?",1.2
46,0,LEEP,LEEP procedure loop electrosurgical excision,Loop electrosurgical excision procedure consult,STANDARD,Next Available,,"Has your doctor recommended a LEEP procedure to treat cervical changes?",1.1
47,0,Menopause,menopause hot flash no period mood swings,Menopause hot flashes no period over 1 year mood swings,STANDARD,Next Available,,"Are you experiencing symptoms of menopause such as hot flashes, mood changes, or absence of periods for a year or more?",1.1
48,0,Miscarriage,miscarriage pregnancy loss,Miscarriage or pregnancy loss,URGENT,Do Not Schedule Unless Instructed,Send CRM to clinical team transfer to nurse for triage,"I'm so sorry for what you may be going through. Are you currently pregnant and experiencing concerning symptoms?",1.3
49,0,Myomectomy,myomectomy fibroid surgery,Fibroid removal surgery myomectomy,STANDARD,Next Available,,"Has your doctor discussed myomectomy surgery to remove fibroids?",1.1
50,0,New Pregnancy,new pregnancy positive pregnancy test new OB NOB LMP,New pregnancy positive test new OB care,ELEVATED,Schedule per Clinical Advice,Send CRM with LMP. Call center does not schedule. High risk to MFM clinical,"Congratulations! Do you have a positive pregnancy test and need to establish prenatal care?",1.3
51,0,Nexplanon,nexplanon contraceptive implant arm insertion removal,Nexplanon contraceptive implant insertion or removal from upper arm,STANDARD,Schedule per Clinical Advice,,"Are you interested in having a Nexplanon implant placed or removed?",1.1
52,0,Non-Stress Test,non-stress test fetal monitoring baby wellbeing,Non-stress test to check baby wellbeing,STANDARD,Schedule per Clinical Order,,"Are you calling to schedule a non-stress test that your provider ordered?",1.1
53,0,Ovarian Cyst,ovarian cyst ultrasound,Ovarian cyst seen on ultrasound,STANDARD,Next Available,,"Have you been told that an ovarian cyst was found on recent imaging?",1.25
54,1,Pelvic Floor Disorder,pelvic floor disorder born female,Pelvic floor disorder for patients born female,STANDARD,Next Available,Born female only,"Are you experiencing ongoing pelvic pain or discomfort that's affecting your quality of life?",1.1
55,1,Pelvic Organ Prolapse,pelvic organ prolapse POP,Pelvic organ prolapse,ELEVATED,7-14 days,,"Have you noticed any unusual pressure, heaviness, or a bulging sensation in your pelvic area?",1.2
56,1,Pessary Care,pessary care pessary changing,Pessary changing or care,STANDARD,Based on Physician Order,Check chart note for schedule,"Are you calling to schedule your regular pessary maintenance appointment?",1.1
57,1,Pessary Fitting,pessary fitting new pessary,Pessary fitting for new pessary,STANDARD,Next Available,,"Would you like to be fitted for a pessary to help with pelvic support?",1.1
58,1,Post Operative,post-op post operative follow-up surgery,Post-operative follow-up after surgery,ELEVATED,10-14 days,,"Are you calling to schedule your post-operative follow-up appointment after surgery?",1.1
59,1,PTNS,PTNS posterior tibial neurostimulation uroplasty overactive bladder,Posterior tibial neurostimulation non-surgical treatment for overactive bladder,STANDARD,Based on Physician Order,,"Are you calling about PTNS treatment for overactive bladder that your doctor ordered?",1.15
60,0,Postpartum Visit,postpartum visit follow-up delivery after birth,Postpartum follow-up visit after delivery,STANDARD,6 weeks post-delivery,,"Are you calling to schedule your postpartum check-up after having your baby?",1.1
61,0,Prenatal Visit Initial,prenatal visit initial first pregnancy visit,Initial prenatal visit first pregnancy appointment,ELEVATED,Scheduled by Clinic Nurse,Register patient verify insurance send Epic phone note to clinical team,"Do you have a positive pregnancy test and need to schedule your first prenatal visit?",1.3
62,1,Prolapse,prolapse bladder uterine vaginal rectal,Bladder uterine or vaginal prolapse,ELEVATED,7-14 days,Dr Solouki does not see rectal prolapse. Dr Hutchison sees rectal prolapse,"Have you noticed any unusual pressure or a bulging sensation in your pelvic area that worsens when standing?",1.2
63,1,Rectocele,rectocele back vagina rectal prolapse tissue weakness,Rectocele tissue weakness between rectum and vaginal wall,ELEVATED,7-14 days,,"Have you noticed any uncomfortable pressure or bulging in your vaginal area, particularly toward the back?",1.2
64,1,Rectovaginal Fistula,rectovaginal fistula abnormal connection rectum vagina,Rectovaginal fistula abnormal connection between rectum and vagina,ELEVATED,7-14 days,,"I understand this is a sensitive topic. Have you noticed any unusual leakage from your vaginal area?",1.35
65,0,Repeat Pap Smear,repeat pap smear follow-up pap,Repeat pap smear follow-up,ELEVATED,1-2 weeks,,"Has your doctor recommended a repeat Pap smear due to previous results that need follow-up?",1.2
66,1,Stress Incontinence,stress incontinence urine leakage coughing sneezing,Stress incontinence urine leakage with coughing sneezing,STANDARD,Next Available,,"This is very common - do you experience any urine leakage when you cough, laugh, sneeze, or exercise?",1.25
67,0,Sexual Dysfunction,sexual dysfunction intimacy problems,Sexual dysfunction or intimacy problems,STANDARD,Next Available,,"Are you experiencing any concerns with intimacy, such as pain, low desire, or other difficulties that are causing distress?",1.1
68,0,STI,STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS,Sexually transmitted infections STD herpes gonorrhea chlamydia HIV AIDS,STANDARD,Next Available,,"Have you had a potential exposure to an STI, or are you noticing any new symptoms like unusual discharge or sores?",1.15
69,1,Urethral Diverticulum,urethral diverticulum urethra pouch,Urethral diverticulum not bladder,STANDARD,Next Available,,"Have you noticed a tender area near your urethra along with dribbling after urination or frequent infections?",1.25
70,1,Urinary Incontinence,urinary incontinence bladder control urine leakage,Urinary incontinence loss of bladder control urine leakage,STANDARD,Next Available,,"Many people experience this - do you have any concerns about unintentional urine leakage during the day?",1.2
71,1,Urinary Leakage,urinary leakage urine leakage,Urinary or urine leakage,STANDARD,Next Available,,"This is more common than you might think. Have you experienced any unintentional urine leakage?",1.2
72,0,UTI,UTI urinary tract infection painful urination burning urination cystitis,Urinary tract infection painful burning urination cystitis,STANDARD,Next Available,,"Are you currently experiencing any burning or discomfort when you urinate?",1.2
73,1,Urodynamics,urodynamics UDS bladder function test,Urodynamics testing for established patients with physician order,STANDARD,Next Available,Established patients with doctor order only,"Are you calling to schedule urodynamics testing that your doctor ordered?",1.2
74,1,Uterine Prolapse,uterine prolapse uterus descended,Uterine prolapse descended uterus,ELEVATED,14-21 days,,"Have you noticed any unusual pressure, heaviness, or a bulging sensation in your pelvic area?",1.2
75,1,Vaginal Prolapse,vaginal prolapse vaginal wall descent,Vaginal prolapse vaginal wall descent,ELEVATED,14-21 days,,"Have you noticed any uncomfortable pressure or bulging in your vaginal area that worsens throughout the day?",1.2
76,0,Vaginitis,vaginitis vaginal issues vaginal blisters bumps discharge itching infections lesion pain rash,Vaginal issues blisters bumps discharge itching infections lesion pain rash,STANDARD,Next Available,,"Are you experiencing any vaginal discomfort, such as unusual discharge, itching, or irritation?",1.15
77,1,Vesicovaginal Fistula,vesicovaginal fistula abnormal connection bladder vagina,Vesicovaginal fistula abnormal connection between bladder and vagina,ELEVATED,7-10 days,,"I understand this is a sensitive topic. Have you noticed any unusual leakage of urine from your vaginal area?",1.35
78,0,Vulvodynia,vulvodynia vulvar lesion vulvar rash vulvar discomfort pain,Vulvar lesion rash discomfort pain around opening vulvodynia,STANDARD,Next Available,,"Have you been experiencing persistent discomfort or pain in the vulvar area for three months or longer?",1.15
79,0,Yeast Infection,yeast infection white discharge cottage cheese discharge itching clumps,Yeast infection white cottage cheese discharge itching clumps,STANDARD,Next Available,,"Are you experiencing vaginal itching along with thick, white discharge? This is often a yeast infection.",1.2
80,2,Advanced Maternal Age,advanced maternal age pregnancy over 35 AMA,Pregnancy in patient 35 years or older at delivery,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Do you have a positive pregnancy test? Are you 35 or older?",1.3
81,2,Multiple Gestation,twins triplets multiples multiple pregnancy,Twin triplet or higher order multiple pregnancy,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Do you have a positive pregnancy test? Have you been told you may be carrying multiples?",1.3
82,2,Gestational Diabetes,gestational diabetes GDM diabetes in pregnancy blood sugar,Gestational diabetes or elevated blood sugar in pregnancy,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Are you pregnant and have been diagnosed with or are being monitored for gestational diabetes?",1.3
83,2,Preeclampsia History,preeclampsia history high blood pressure pregnancy PIH hypertension,History of preeclampsia or pregnancy-induced hypertension,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Are you currently pregnant and have a history of high blood pressure during a previous pregnancy?",1.3
84,2,Fetal Anomaly,fetal anomaly birth defect ultrasound abnormality congenital,Fetal anomaly or birth defect seen on ultrasound,URGENT,Within 1 week,High-risk OB subspecialty,"Has your provider identified a concern with your baby's development on a recent ultrasound?",1.1
85,2,Growth Restriction,IUGR intrauterine growth restriction FGR fetal growth restriction small baby,Intrauterine or fetal growth restriction small for gestational age,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Has your provider mentioned any concerns about your baby's growth during pregnancy?",1.1
86,2,Preterm Labor History,preterm labor history premature birth previous preterm delivery PTL,History of preterm labor or premature delivery,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Are you pregnant and have a history of preterm labor or early delivery in a previous pregnancy?",1.1
87,2,Placenta Previa,placenta previa low-lying placenta placenta covering cervix,Placenta previa or low-lying placenta covering cervix,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Has your provider mentioned that your placenta is positioned low in your uterus?",1.1
88,2,Placental Abruption History,placental abruption history placenta separation,History of placental abruption or separation,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Are you pregnant and have a history of placental abruption in a previous pregnancy?",1.1
89,2,Chronic Hypertension,chronic hypertension high blood pressure pregnancy HTN,Chronic hypertension or high blood pressure in pregnancy,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Are you pregnant and have been managing high blood pressure?",1.3
90,2,Pregestational Diabetes,pregestational diabetes type 1 diabetes type 2 diabetes pregnancy,Type 1 or Type 2 diabetes before pregnancy,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Are you pregnant and have Type 1 or Type 2 diabetes?",1.3
91,2,Incompetent Cervix,incompetent cervix short cervix cervical insufficiency,Incompetent cervix cervical insufficiency or short cervix,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Has your provider mentioned concerns about cervical length or cervical insufficiency?",1.1
92,2,Rh Incompatibility,Rh incompatibility Rh negative RhoGAM isoimmunization,Rh incompatibility or isoimmunization in pregnancy,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Are you Rh negative and pregnant, needing monitoring or RhoGAM?",1.1
93,2,Recurrent Pregnancy Loss,recurrent pregnancy loss recurrent miscarriage RPL multiple miscarriages,History of recurrent pregnancy loss or multiple miscarriages,STANDARD,2-4 weeks,High-risk OB subspecialty,"I'm sorry for what you've been through. Are you currently pregnant and have experienced multiple previous pregnancy losses?",1.3
94,2,Genetic Counseling,genetic counseling amniocentesis CVS chorionic villus sampling NIPT carrier screening,Genetic counseling amniocentesis CVS or prenatal testing,STANDARD,1-3 weeks,High-risk OB subspecialty,"Would you like genetic counseling or testing during your pregnancy?",1.1
95,2,Lupus in Pregnancy,lupus pregnancy SLE systemic lupus erythematosus autoimmune,Systemic lupus erythematosus or autoimmune disease in pregnancy,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Are you pregnant and managing lupus or another autoimmune condition?",1.3
96,2,Thyroid Disorder Pregnancy,thyroid disorder pregnancy hypothyroidism hyperthyroidism,Thyroid disorder hypothyroidism or hyperthyroidism in pregnancy,STANDARD,2-3 weeks,High-risk OB subspecialty,"Are you pregnant and managing a thyroid condition?",1.3
97,2,Fetal Echocardiogram,fetal echocardiogram fetal echo heart ultrasound congenital heart,Fetal echocardiogram for suspected congenital heart defect,ELEVATED,1-2 weeks,High-risk OB subspecialty,"Has your provider recommended a detailed heart ultrasound for your baby?",1.1
98,3,Laparoscopic Hysterectomy Consult,laparoscopic hysterectomy minimally invasive hysterectomy robotic hysterectomy,Consultation for laparoscopic or robotic hysterectomy,STANDARD,2-4 weeks,Minimally invasive GYN surgery,"Has your doctor discussed the possibility of a minimally invasive hysterectomy with you?",1.1
99,3,Laparoscopic Myomectomy,laparoscopic myomectomy fibroid removal minimally invasive robotic myomectomy,Laparoscopic or robotic fibroid removal myomectomy,STANDARD,2-4 weeks,Minimally invasive GYN surgery,"Has your doctor recommended laparoscopic surgery to remove fibroids?",1.1
100,3,Endometriosis Excision,endometriosis excision laparoscopic endometriosis surgery robotic endometriosis,Laparoscopic excision of endometriosis,STANDARD,2-4 weeks,Minimally invasive GYN surgery,"Do you experience significant pelvic pain that tends to worsen around your menstrual period?",1.2
101,3,Pelvic Mass Evaluation,pelvic mass ovarian cyst adnexal mass complex cyst laparoscopy,Evaluation and possible removal of pelvic or ovarian mass,ELEVATED,1-3 weeks,Minimally invasive GYN surgery,"Have you been told about a mass or growth in your pelvic area that needs further evaluation?",1.25
102,3,Adhesiolysis,adhesiolysis adhesion removal pelvic adhesions scar tissue laparoscopic,Laparoscopic removal of pelvic adhesions or scar tissue,STANDARD,2-4 weeks,Minimally invasive GYN surgery,"Are you experiencing ongoing pelvic pain, possibly related to scar tissue from previous surgery?",1.1
103,3,Tubal Ligation,tubal ligation sterilization permanent contraception tubes tied BTL,Tubal ligation or sterilization procedure,STANDARD,4-8 weeks,Minimally invasive GYN surgery,"Are you interested in permanent birth control through tubal ligation?",1.1
104,3,Ovarian Cystectomy,ovarian cystectomy cyst removal laparoscopic ovarian surgery,Laparoscopic ovarian cyst removal,STANDARD,2-4 weeks,Minimally invasive GYN surgery,"Has your doctor recommended surgery to remove an ovarian cyst?",1.25
105,3,Hysteroscopic Myomectomy,hysteroscopic myomectomy submucosal fibroid removal hysteroscopy,Hysteroscopic removal of submucosal fibroids,STANDARD,2-4 weeks,Minimally invasive GYN surgery,"Has your doctor recommended removing fibroids through a hysteroscopic procedure?",1.1
106,3,Diagnostic Laparoscopy,diagnostic laparoscopy pelvic pain evaluation exploratory laparoscopy,Diagnostic laparoscopy for pelvic pain or infertility evaluation,STANDARD,2-4 weeks,Minimally invasive GYN surgery,"Has your doctor recommended a diagnostic laparoscopy to investigate your symptoms?",1.15
107,3,Ectopic Pregnancy Surgery,ectopic pregnancy laparoscopy tubal pregnancy surgery salpingectomy,Laparoscopic surgery for ectopic pregnancy,CRITICAL,0-3 days,Minimally invasive GYN surgery emergency,"This is important - do you have a positive pregnancy test along with one-sided pelvic pain or unusual bleeding?",1.35
108,3,Ovarian Drilling,ovarian drilling PCOS laparoscopic ovarian surgery polycystic ovary,Laparoscopic ovarian drilling for PCOS,STANDARD,4-8 weeks,Minimally invasive GYN surgery,"Has your doctor recommended ovarian drilling as a treatment for PCOS?",1.1
109,3,Sacrocolpopexy,sacrocolpopexy robotic prolapse repair mesh prolapse surgery,Robotic or laparoscopic sacrocolpopexy for prolapse,STANDARD,2-4 weeks,Minimally invasive GYN surgery,"Has your doctor discussed sacrocolpopexy surgery to repair pelvic organ prolapse?",1.1
110,4,Infertility Evaluation,infertility evaluation unable to conceive trying to conceive fertility workup,Initial infertility evaluation and workup,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"I understand this journey can be challenging. Have you been trying to conceive for 12 months or more without success?",1.2
111,4,IVF Consultation,IVF consultation in vitro fertilization assisted reproduction ART,In vitro fertilization consultation and planning,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Would you like to schedule a consultation to discuss IVF or fertility treatment options?",1.1
112,4,Male Factor Infertility,male factor infertility low sperm count sperm analysis semen analysis,Male factor infertility or abnormal semen analysis,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Have you been trying to conceive and been told there may be male factor concerns to address?",1.2
113,4,Ovulation Induction,ovulation induction anovulation PCOS clomid letrozole fertility medication,Ovulation induction for anovulation or irregular cycles,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Has your doctor recommended medications to help with ovulation?",1.1
114,4,IUI Consultation,IUI consultation intrauterine insemination artificial insemination,Intrauterine insemination consultation and planning,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Would you like to discuss intrauterine insemination (IUI) as a fertility treatment option?",1.1
115,4,Recurrent Pregnancy Loss REI,recurrent pregnancy loss fertility miscarriage RPL immune testing,Recurrent pregnancy loss evaluation and treatment,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"I'm so sorry for what you've been through. Are you seeking evaluation after multiple pregnancy losses?",1.3
116,4,PCOS Fertility,PCOS fertility polycystic ovary syndrome ovulation problems,PCOS evaluation and fertility treatment,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Do you have PCOS and are looking for help with fertility?",1.1
117,4,Egg Freezing,egg freezing oocyte cryopreservation fertility preservation,Egg freezing or fertility preservation consultation,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Are you interested in learning about egg freezing for fertility preservation?",1.1
118,4,Donor Egg Consultation,donor egg consultation egg donation recipient,Donor egg or embryo consultation,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Would you like to discuss using donor eggs or embryos for building your family?",1.1
119,4,Preimplantation Genetic Testing,PGT preimplantation genetic testing embryo testing genetic screening,Preimplantation genetic testing consultation,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Are you interested in genetic testing of embryos before implantation?",1.15
120,4,Diminished Ovarian Reserve,diminished ovarian reserve low AMH low egg count DOR,Diminished ovarian reserve or low egg count evaluation,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Have you been told that you may have diminished ovarian reserve or low egg count?",1.1
121,4,Endometriosis Fertility,endometriosis fertility infertility endometriosis treatment,Endometriosis related infertility evaluation and treatment,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Do you have endometriosis and are experiencing difficulty becoming pregnant?",1.2
122,4,Tubal Factor Infertility,tubal factor infertility blocked tubes hydrosalpinx tubal disease,Tubal factor infertility or blocked fallopian tubes,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Have you been told that blocked or damaged fallopian tubes may be affecting your fertility?",1.2
