"target_condition_id","target_subspecialty","variant_index","variant_keywords","user_input"
"1","general OB/GYN","1","[""heavy bleeding irregular bleeding irregular menstruation bleeding after sex"", ""depo injection birth control DMPA contraception"", ""new pregnancy positive pregnancy test new OB NOB LMP"", ""prenatal visit initial first pregnancy visit""]","I keep getting heavy bleeding irregular bleeding irregular menstruation bleeding after sex, depo injection birth control DMPA contraception, new pregnancy positive pregnancy test new OB NOB LMP, and prenatal visit initial first pregnancy visit recently, with a low-grade fever."
"1","general OB/GYN","2","[""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""breast lump breast mass breast discomfort breast pain breast redness"", ""incision check post surgical c-section surgery follow-up"", ""heavy bleeding irregular bleeding irregular menstruation bleeding after sex""]","Persistent heavy bleeding irregular bleeding irregular menstruation bleeding after sex, breast lump breast mass breast discomfort breast discomfort breast redness, incision check post surgical c-section surgery follow-up, and soaking pads quickly for several months."
"1","general OB/GYN","3","[""vaginitis vaginal issues vaginal blisters bumps discharge itching infections lesion pain rash"", ""amenorrhea no period 6 months"", ""IUD removal intrauterine device removal uterus""]","heavy bleeding irregular bleeding irregular menstruation bleeding after sex, amenorrhea no period 6 months, and IUD removal intrauterine device removal uterus over the past month. Should I be concerned?"
"1","general OB/GYN","4","[""vaginitis vaginal issues vaginal blisters bumps discharge itching infections lesion pain rash"", ""hysteroscopy procedure in office"", ""heavy bleeding irregular bleeding irregular menstruation bleeding after sex""]","I keep getting persistent itching, hysteroscopy procedure in office, and heavy bleeding irregular bleeding irregular menstruation bleeding after sex for two weeks, after exercise."
"1","general OB/GYN","5","[""heavy bleeding irregular bleeding irregular menstruation bleeding after sex"", ""LEEP procedure loop electrosurgical excision"", ""IUD consult intrauterine device birth control device"", ""miscarriage pregnancy loss""]","It's mostly heavy bleeding irregular bleeding irregular menstruation bleeding after sex, LEEP procedure loop electrosurgical excision, IUD consult intrauterine device birth control device, and miscarriage pregnancy loss over the past month, worse in the morning."
"1","general OB/GYN","6","[""repeat pap smear follow-up pap"", ""prenatal visit initial first pregnancy visit"", ""breast lump breast mass breast discomfort breast pain breast redness"", ""heavy bleeding irregular bleeding irregular menstruation bleeding after sex""]","I keep getting repeat pap smear follow-up pap, prenatal visit initial first pregnancy visit, breast lump breast mass breast discomfort breast ache breast redness, and heavy bleeding irregular bleeding irregular menstruation bleeding after sex for two weeks, when I cough or sneeze."
"1","general OB/GYN","7","[""abnormal pap smear repeat"", ""infertility IVF reproductive assistance"", ""menopause hot flash no period mood swings"", ""heavy bleeding irregular bleeding irregular menstruation bleeding after sex""]","Having heavy bleeding irregular bleeding irregular menstruation bleeding after sex, infertility IVF reproductive assistance, menopause hot flash no period mood swings, and heavy flow on and off. What could this be?"
"1","general OB/GYN","8","[""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""heavy bleeding irregular bleeding irregular menstruation bleeding after sex"", ""non-stress test fetal monitoring baby wellbeing"", ""hysteroscopy procedure in office"", ""surgery consult removal growth hysterectomy second opinion""]","Recently it's been heavy bleeding irregular bleeding irregular menstruation bleeding after sex, heavy flow, non-stress test fetal monitoring baby wellbeing, hysteroscopy procedure in office, and surgery consult removal growth hysterectomy second opinion."
"1","general OB/GYN","9","[""infertility IVF reproductive assistance"", ""heavy bleeding irregular bleeding irregular menstruation bleeding after sex"", ""ectopic pregnancy pregnant in tubes miscarriage"", ""breastfeeding problems lactation""]","Persistent heavy bleeding irregular bleeding irregular menstruation bleeding after sex, heavy flow, ectopic pregnancy pregnant in tubes miscarriage, and breastfeeding problems lactation over the past month."
"1","general OB/GYN","10","[""non-stress test fetal monitoring baby wellbeing"", ""hormone replacement therapy menopause HRT"", ""heavy bleeding irregular bleeding irregular menstruation bleeding after sex"", ""miscarriage pregnancy loss""]","Recently it's been non-stress test fetal monitoring baby wellbeing, hormone replacement therapy menopause HRT, heavy bleeding irregular bleeding irregular menstruation bleeding after sex, and miscarriage pregnancy loss."
"2","general OB/GYN","1","[""fibroids uterine fibroids"", ""yeast infection white discharge cottage cheese discharge itching clumps"", ""breastfeeding problems lactation"", ""infertility IVF reproductive assistance"", ""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration""]","Lately I've noticed fibroids uterine fibroids, persistent itching, breastfeeding problems lactation, infertility IVF reproductive assistance, and termination pregnancy unwanted pregnancy MVA manual vacuum aspiration for several months."
"2","general OB/GYN","2","[""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""amenorrhea no period 6 months"", ""breast lump breast mass breast discomfort breast pain breast redness"", ""postpartum visit follow-up delivery after birth""]","Symptoms include termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, amenorrhea no period 6 months, breast lump breast mass breast discomfort breast discomfort breast redness, and postpartum visit follow-up delivery after birth since yesterday."
"2","general OB/GYN","3","[""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""gardasil HPV shot HPV vaccine"", ""ovarian cyst ultrasound""]","I keep getting termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, gardasil HPV shot HPV vaccine, and ovarian cyst ultrasound for two weeks, during my period."
"2","general OB/GYN","4","[""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""postpartum visit follow-up delivery after birth"", ""amenorrhea no period 6 months""]","I keep getting termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, postpartum visit follow-up delivery after birth, and amenorrhea no period 6 months for a few days, with a low-grade fever."
"2","general OB/GYN","5","[""incision check post surgical c-section surgery follow-up"", ""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""UTI urinary tract infection painful urination burning urination cystitis""]","Persistent termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, and pain when urinating on and off."
"2","general OB/GYN","6","[""gardasil HPV shot HPV vaccine"", ""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test""]","For for two weeks, it's been termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, and annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test. Any guidance?"
"2","general OB/GYN","7","[""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""hormone replacement therapy menopause HRT"", ""ovarian cyst ultrasound"", ""LEEP procedure loop electrosurgical excision"", ""abnormal pap smear repeat"", ""vulvodynia vulvar lesion vulvar rash vulvar discomfort pain""]","I keep getting termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, hormone replacement therapy menopause HRT, ovarian cyst ultrasound, LEEP procedure loop electrosurgical excision, abnormal pap smear repeat, and vulvodynia vulvar lesion vulvar rash vulvar discomfort pain for several months, during my period."
"2","general OB/GYN","8","[""IUD insertion intrauterine device placement uterus"", ""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""miscarriage pregnancy loss"", ""abnormal pap smear repeat"", ""ovarian cyst ultrasound""]","I keep getting termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, miscarriage pregnancy loss, abnormal pap smear repeat, and ovarian cyst ultrasound for a few days, when I cough or sneeze."
"2","general OB/GYN","9","[""ovarian cyst ultrasound"", ""colposcopy abnormal pap office procedure"", ""heavy bleeding menstrual"", ""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""vulvodynia vulvar lesion vulvar rash vulvar discomfort pain""]","termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, colposcopy abnormal pap office procedure, very heavy periods, termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, and ongoing pain for two weeks. Should I be concerned?"
"2","general OB/GYN","10","[""ectopic pregnancy pregnant in tubes miscarriage"", ""colposcopy abnormal pap office procedure"", ""prenatal visit initial first pregnancy visit"", ""amenorrhea no period 6 months""]","Recently it's been termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, colposcopy abnormal pap office procedure, prenatal visit initial first pregnancy visit, and amenorrhea no period 6 months."
"3","general OB/GYN","1","[""miscarriage pregnancy loss"", ""adolescent gynecology ages 0-22 contraception"", ""gynecology exam burning itching irritation vaginal area painful urination irregular menstruation discharge odor bumps""]","Recently it's been miscarriage pregnancy loss, adolescent gynecology ages 0-22 contraception, and itchiness."
"3","general OB/GYN","2","[""IUD consult intrauterine device birth control device"", ""colposcopy abnormal pap office procedure"", ""adolescent gynecology ages 0-22 contraception""]","Having IUD consult intrauterine device birth control device, colposcopy abnormal pap office procedure, and adolescent gynecology ages 0-22 contraception on and off. What could this be?"
"3","general OB/GYN","3","[""heavy bleeding irregular bleeding irregular menstruation bleeding after sex"", ""adolescent gynecology ages 0-22 contraception"", ""menopause hot flash no period mood swings"", ""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration""]","Having soaking pads quickly, adolescent gynecology ages 0-22 contraception, menopause hot flash no period mood swings, and termination pregnancy unwanted pregnancy MVA manual vacuum aspiration recently. What could this be?"
"3","general OB/GYN","4","[""incision check post surgical c-section surgery follow-up"", ""nexplanon contraceptive implant arm insertion removal"", ""infertility IVF reproductive assistance""]","I've been dealing with adolescent gynecology ages 0-22 contraception, nexplanon contraceptive implant arm insertion removal, and infertility IVF reproductive assistance for several months, with low back ache."
"3","general OB/GYN","5","[""non-stress test fetal monitoring baby wellbeing"", ""adolescent gynecology ages 0-22 contraception"", ""hormone replacement therapy menopause HRT""]","I keep getting adolescent gynecology ages 0-22 contraception, adolescent gynecology ages 0-22 contraception, and hormone replacement therapy menopause HRT since yesterday, after intercourse."
"3","general OB/GYN","6","[""UTI urinary tract infection painful urination burning urination cystitis"", ""abnormal pap smear repeat"", ""infertility IVF reproductive assistance"", ""hysteroscopy procedure in office"", ""adolescent gynecology ages 0-22 contraception""]","For over the past month, it's been pain when urinating, abnormal pap smear repeat, infertility IVF reproductive assistance, hysteroscopy procedure in office, and adolescent gynecology ages 0-22 contraception. Any guidance?"
"3","general OB/GYN","7","[""LEEP procedure loop electrosurgical excision"", ""STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS"", ""nexplanon contraceptive implant arm insertion removal"", ""adolescent gynecology ages 0-22 contraception""]","For recently, it's been adolescent gynecology ages 0-22 contraception, STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS, nexplanon contraceptive implant arm insertion removal, and adolescent gynecology ages 0-22 contraception. Any guidance?"
"3","general OB/GYN","8","[""repeat pap smear follow-up pap"", ""gynecology exam burning itching irritation vaginal area painful urination irregular menstruation discharge odor bumps"", ""adolescent gynecology ages 0-22 contraception"", ""heavy bleeding menstrual"", ""STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS""]","Having repeat pap smear follow-up pap, itchiness, adolescent gynecology ages 0-22 contraception, soaking pads quickly, and STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS for two weeks. What could this be?"
"3","general OB/GYN","9","[""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test"", ""vaginitis vaginal issues vaginal blisters bumps discharge itching infections lesion pain rash"", ""hysteroscopy procedure in office"", ""adolescent gynecology ages 0-22 contraception""]","Persistent adolescent gynecology ages 0-22 contraception, itchiness, hysteroscopy procedure in office, and adolescent gynecology ages 0-22 contraception since yesterday."
"3","general OB/GYN","10","[""adolescent gynecology ages 0-22 contraception"", ""vaginitis vaginal issues vaginal blisters bumps discharge itching infections lesion pain rash"", ""heavy bleeding menstrual"", ""sexual dysfunction intimacy problems""]","Recently it's been adolescent gynecology ages 0-22 contraception, itchiness, heavy flow, and sexual dysfunction intimacy problems."
"4","general OB/GYN","1","[""infertility IVF reproductive assistance"", ""postpartum visit follow-up delivery after birth"", ""surgery consult removal growth hysterectomy second opinion"", ""heavy bleeding menstrual""]","I've been dealing with amenorrhea no period 6 months, postpartum visit follow-up delivery after birth, surgery consult removal growth hysterectomy second opinion, and soaking pads quickly for two weeks, worse in the morning."
"4","general OB/GYN","2","[""IUD insertion intrauterine device placement uterus"", ""gynecology exam burning itching irritation vaginal area painful urination irregular menstruation discharge odor bumps"", ""adolescent gynecology ages 0-22 contraception"", ""fibroids uterine fibroids"", ""STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS"", ""new pregnancy positive pregnancy test new OB NOB LMP""]","For recently, it's been amenorrhea no period 6 months, itchiness, adolescent gynecology ages 0-22 contraception, fibroids uterine fibroids, STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS, and new pregnancy positive pregnancy test new OB NOB LMP. Any guidance?"
"4","general OB/GYN","3","[""repeat pap smear follow-up pap"", ""surgery consult removal growth hysterectomy second opinion"", ""IUD insertion intrauterine device placement uterus"", ""hysteroscopy procedure in office"", ""amenorrhea no period 6 months""]","For recently, it's been amenorrhea no period 6 months, surgery consult removal growth hysterectomy second opinion, IUD insertion intrauterine device placement uterus, hysteroscopy procedure in office, and amenorrhea no period 6 months. Any guidance?"
"4","general OB/GYN","4","[""fibroids uterine fibroids"", ""nexplanon contraceptive implant arm insertion removal"", ""non-stress test fetal monitoring baby wellbeing"", ""amenorrhea no period 6 months"", ""vaginitis vaginal issues vaginal blisters bumps discharge itching infections lesion pain rash"", ""gardasil HPV shot HPV vaccine""]","fibroids uterine fibroids, nexplanon contraceptive implant arm insertion removal, non-stress test fetal monitoring baby wellbeing, amenorrhea no period 6 months, itchiness, and gardasil HPV shot HPV vaccine for a few days. Should I be concerned?"
"4","general OB/GYN","5","[""incision check post surgical c-section surgery follow-up"", ""gender affirming care transgender care born female"", ""vaginitis vaginal issues vaginal blisters bumps discharge itching infections lesion pain rash"", ""endometriosis"", ""heavy bleeding irregular bleeding irregular menstruation bleeding after sex""]","Recently it's been amenorrhea no period 6 months, gender affirming care transgender care born female, persistent itching, endometriosis, and heavy flow."
"4","general OB/GYN","6","[""UTI urinary tract infection painful urination burning urination cystitis"", ""amenorrhea no period 6 months"", ""ovarian cyst ultrasound""]","Symptoms include it burns when I pee, amenorrhea no period 6 months, and ovarian cyst ultrasound on and off."
"4","general OB/GYN","7","[""amenorrhea no period 6 months"", ""vulvodynia vulvar lesion vulvar rash vulvar discomfort pain"", ""colposcopy abnormal pap office procedure"", ""postpartum visit follow-up delivery after birth""]","For since yesterday, it's been amenorrhea no period 6 months, vulvodynia vulvar lesion vulvar rash vulvar discomfort pain, colposcopy abnormal pap office procedure, and postpartum visit follow-up delivery after birth. Any guidance?"
"4","general OB/GYN","8","[""amenorrhea no period 6 months"", ""UTI urinary tract infection painful urination burning urination cystitis"", ""depo injection birth control DMPA contraception"", ""gardasil HPV shot HPV vaccine""]","Lately I've noticed amenorrhea no period 6 months, it burns when I pee, depo injection birth control DMPA contraception, and gardasil HPV shot HPV vaccine for two weeks."
"4","general OB/GYN","9","[""vaginitis vaginal issues vaginal blisters bumps discharge itching infections lesion pain rash"", ""postpartum visit follow-up delivery after birth"", ""ectopic pregnancy pregnant in tubes miscarriage""]","I keep getting amenorrhea no period 6 months, postpartum visit follow-up delivery after birth, and ectopic pregnancy pregnant in tubes miscarriage for several months, with nausea."
"4","general OB/GYN","10","[""birth control consult contraception"", ""amenorrhea no period 6 months"", ""STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS""]","Having amenorrhea no period 6 months, amenorrhea no period 6 months, and STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS for a few days. What could this be?"
"5","general OB/GYN","1","[""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test"", ""vulvodynia vulvar lesion vulvar rash vulvar discomfort pain"", ""yeast infection white discharge cottage cheese discharge itching clumps""]","For since yesterday, it's been annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, vulvodynia vulvar lesion vulvar rash vulvar discomfort discomfort, and itchiness. Any guidance?"
"5","general OB/GYN","2","[""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test"", ""miscarriage pregnancy loss"", ""hysteroscopy procedure in office"", ""IUD consult intrauterine device birth control device"", ""adolescent gynecology ages 0-22 contraception""]","Recently it's been annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, miscarriage pregnancy loss, hysteroscopy procedure in office, IUD consult intrauterine device birth control device, and adolescent gynecology ages 0-22 contraception."
"5","general OB/GYN","3","[""surgery consult removal growth hysterectomy second opinion"", ""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test"", ""amenorrhea no period 6 months""]","Persistent annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, and amenorrhea no period 6 months for a few days."
"5","general OB/GYN","4","[""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test"", ""colposcopy abnormal pap office procedure"", ""endometriosis""]","It's mostly annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, colposcopy abnormal pap office procedure, and endometriosis over the past month, when I cough or sneeze."
"5","general OB/GYN","5","[""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test"", ""incision check post surgical c-section surgery follow-up"", ""hysteroscopy procedure in office"", ""miscarriage pregnancy loss""]","Persistent annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, incision check post surgical c-section surgery follow-up, hysteroscopy procedure in office, and miscarriage pregnancy loss over the past month."
"5","general OB/GYN","6","[""incision check post surgical c-section surgery follow-up"", ""sexual dysfunction intimacy problems"", ""labial adhesion fused labia"", ""nexplanon contraceptive implant arm insertion removal""]","For recently, it's been annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, sexual dysfunction intimacy problems, labial adhesion fused labia, and nexplanon contraceptive implant arm insertion removal. Any guidance?"
"5","general OB/GYN","7","[""myomectomy fibroid surgery"", ""heavy bleeding menstrual"", ""nexplanon contraceptive implant arm insertion removal""]","Lately I've noticed annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, soaking pads quickly, and nexplanon contraceptive implant arm insertion removal since yesterday."
"5","general OB/GYN","8","[""LEEP procedure loop electrosurgical excision"", ""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test"", ""hormone replacement therapy menopause HRT"", ""depo injection birth control DMPA contraception""]","Symptoms include annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, hormone replacement therapy menopause HRT, and depo injection birth control DMPA contraception for several months."
"5","general OB/GYN","9","[""ovarian cyst ultrasound"", ""endometriosis"", ""IUD insertion intrauterine device placement uterus"", ""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test"", ""gender affirming care transgender care born female""]","Having annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, endometriosis, IUD insertion intrauterine device placement uterus, annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, and gender affirming care transgender care born female for two weeks. What could this be?"
"5","general OB/GYN","10","[""amenorrhea no period 6 months"", ""ovarian cyst ultrasound"", ""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test"", ""adolescent gynecology ages 0-22 contraception""]","Lately I've noticed amenorrhea no period 6 months, ovarian cyst ultrasound, annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test, and adolescent gynecology ages 0-22 contraception recently."
"6","general OB/GYN","1","[""vulvodynia vulvar lesion vulvar rash vulvar discomfort pain"", ""birth control consult contraception"", ""ovarian cyst ultrasound"", ""gardasil HPV shot HPV vaccine""]","I've been dealing with birth control consult contraception, birth control consult contraception, ovarian cyst ultrasound, and gardasil HPV shot HPV vaccine for a few days, with nausea."
"6","general OB/GYN","2","[""heavy bleeding menstrual"", ""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""birth control consult contraception""]","Having birth control consult contraception, termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, and birth control consult contraception over the past month. What could this be?"
"6","general OB/GYN","3","[""vulvodynia vulvar lesion vulvar rash vulvar discomfort pain"", ""non-stress test fetal monitoring baby wellbeing"", ""depo injection birth control DMPA contraception"", ""endometriosis"", ""IUD insertion intrauterine device placement uterus"", ""fibroids uterine fibroids""]","For over the past month, it's been birth control consult contraception, non-stress test fetal monitoring baby wellbeing, depo injection birth control DMPA contraception, endometriosis, IUD insertion intrauterine device placement uterus, and fibroids uterine fibroids. Any guidance?"
"6","general OB/GYN","4","[""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""ectopic pregnancy pregnant in tubes miscarriage"", ""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test""]","Symptoms include birth control consult contraception, ectopic pregnancy pregnant in tubes miscarriage, and annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test since yesterday."
"6","general OB/GYN","5","[""incision check post surgical c-section surgery follow-up"", ""non-stress test fetal monitoring baby wellbeing"", ""IUD insertion intrauterine device placement uterus"", ""LEEP procedure loop electrosurgical excision"", ""birth control consult contraception"", ""ovarian cyst ultrasound""]","It's mostly birth control consult contraception, non-stress test fetal monitoring baby wellbeing, IUD insertion intrauterine device placement uterus, LEEP procedure loop electrosurgical excision, birth control consult contraception, and ovarian cyst ultrasound since yesterday, during my period."
"6","general OB/GYN","6","[""non-stress test fetal monitoring baby wellbeing"", ""birth control consult contraception"", ""gardasil HPV shot HPV vaccine""]","For since yesterday, it's been birth control consult contraception, birth control consult contraception, and gardasil HPV shot HPV vaccine. Any guidance?"
"6","general OB/GYN","7","[""LEEP procedure loop electrosurgical excision"", ""birth control consult contraception"", ""IUD insertion intrauterine device placement uterus""]","It's mostly LEEP procedure loop electrosurgical excision, birth control consult contraception, and IUD insertion intrauterine device placement uterus for several months, during my period."
"6","general OB/GYN","8","[""gynecology exam burning itching irritation vaginal area painful urination irregular menstruation discharge odor bumps"", ""vaginitis vaginal issues vaginal blisters bumps discharge itching infections lesion pain rash"", ""birth control consult contraception"", ""postpartum visit follow-up delivery after birth""]","I've been dealing with persistent itching, persistent itching, birth control consult contraception, and postpartum visit follow-up delivery after birth over the past month, with a low-grade fever."
"6","general OB/GYN","9","[""birth control consult contraception"", ""postpartum visit follow-up delivery after birth"", ""menopause hot flash no period mood swings""]","Persistent birth control consult contraception, postpartum visit follow-up delivery after birth, and menopause hot flash no period mood swings for a few days."
"6","general OB/GYN","10","[""annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test"", ""vulvodynia vulvar lesion vulvar rash vulvar discomfort pain"", ""IUD removal intrauterine device removal uterus"", ""birth control consult contraception"", ""STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS""]","It's mostly birth control consult contraception, vulvodynia vulvar lesion vulvar rash vulvar discomfort pain, IUD removal intrauterine device removal uterus, birth control consult contraception, and STI STD sexually transmitted infection herpes gonorrhea chlamydia HIV AIDS for a few days, worse at night."
"7","urogynecology & reconstructive pelvic medicine","1","[""bladder cancer"", ""pelvic organ prolapse POP"", ""botox bladder treatment"", ""prolapse bladder uterine vaginal rectal""]","Persistent bladder cancer, pelvic organ prolapse POP, botox bladder treatment, and prolapse bladder uterine vaginal rectal recently."
"7","urogynecology & reconstructive pelvic medicine","2","[""post-op post operative follow-up surgery"", ""urinary leakage urine leakage"", ""pessary fitting new pessary"", ""bladder cancer"", ""hysterectomy VNOTES vaginal hysterectomy procedure""]","Persistent bladder cancer, urinary leakage urine leakage, pessary fitting new pessary, bladder cancer, and hysterectomy VNOTES vaginal hysterectomy procedure over the past month."
"7","urogynecology & reconstructive pelvic medicine","3","[""bladder cancer"", ""vesicovaginal fistula abnormal connection bladder vagina"", ""urinary incontinence bladder control urine leakage"", ""urethral diverticulum urethra pouch"", ""pelvic organ prolapse POP""]","Persistent bladder cancer, vesicovaginal fistula abnormal connection bladder vagina, urine leakage, urethral diverticulum urethra pouch, and pelvic organ prolapse POP for a few days."
"7","urogynecology & reconstructive pelvic medicine","4","[""PTNS posterior tibial neurostimulation uroplasty overactive bladder"", ""vaginal prolapse vaginal wall descent"", ""interstitial cystitis chronic bladder condition painful bladder syndrome"", ""bowel leakage fecal incontinence"", ""bladder cancer""]","Lately I've noticed bladder cancer, vaginal prolapse vaginal wall descent, ongoing pain, urine leakage, and bladder cancer over the past month."
"7","urogynecology & reconstructive pelvic medicine","5","[""bladder cancer"", ""stress incontinence urine leakage coughing sneezing"", ""bladder incontinence bladder leakage""]","bladder cancer, urine leakage, and urine leakage since yesterday. Should I be concerned?"
