"Symptom","Description"
"Labial Adhesion","Fusion of the labia minora."
"Loop Electrosurgical Excision Procedure (LEEP) Consult","Consultation for LEEP procedure."
"Menopause","Symptoms include hot flashes, absence of period for over 1 year, and mood swings."
"Miscarriage","Send to CRM clinical team for triage."
"Myomectomy","Surgical removal of fibroids."
"New Pregnancy / New OB (NOB)","Positive pregnancy test; new pregnancy care including LMP for registration and triage."
"Nexplanon Insertion or Removal","Contraceptive implant inserted or removed from the upper arm."
"Non-Stress Test","Evaluation of fetal well-being."
"Ovarian Cyst","Fluid-filled cyst in the ovary, usually seen on ultrasound."
"Pelvic Floor Disorder (Born Female ONLY)","Conditions affecting pelvic floor muscles."
"Pelvic Infections","Infection in pelvic organs."
"Pelvic Organ Prolapse","Prolapse of pelvic organs, e.g., bladder or uterus."
"Pelvic Pain","Pain localized to pelvic region."
"Pelvic Trauma","Injury to pelvic area."
"Pessary Care","Device changing."
"Pessary Fitting","Initial fitting of pessary device."
"Polycystic Ovary Syndrome (PCOS)","Hormonal disorder with cystic ovaries."
"Post Operative (Post-Op)","Follow-up care after surgery."
"Posterior Tibial Neurostimulation / Uroplasty (PTNS)","Non-surgical treatment for overactive bladder."
"Postmenopausal Bleeding","Bleeding after menopause."
"Postpartum Visit","Follow-up after delivery."
"Pre-Conception (Pregnancy) Consult","Consultation before attempting pregnancy."
"Prenatal Visits - Initial Visit","Register patient, verify insurance, and send phone message to clinical team for triage."
"Prolapse","Bladder, uterine, vaginal prolapse treated; rectal prolapse seen by Dr. Hutchison but not Dr. Solouki."
"Rectocele","Weakening of wall tissue between rectum and vaginal wall causing bulge."
"Rectovaginal Fistula","Abnormal connection between rectum and vagina."
"Repeat Pap Smear","Follow-up pap smear due to insufficient sample."
"Return OB Care","Follow-up for ongoing pregnancy care."
"Sexual Dysfunction","Impairment in sexual function."
"Sexually Transmitted Infections (STIs)","Includes herpes, gonorrhea, chlamydia, HIV/AIDS."
"Sonohysterogram","Ultrasound procedure of the uterus with fluid."
"Stress Incontinence","Urine leakage with physical exertion."
"Tubal Consult / Procedure","Consultation or procedure on fallopian tubes."
"Ultrasounds - GYN","Gynecologic ultrasound imaging."
"Urea Plasma","Laboratory test."
"Urethral Diverticulum (Not Bladder)","Pouch formation in urethra."
"Urinary Incontinence","Loss of bladder control."
"Urinary Leakage","Involuntary urine leakage."
"Urinary Tract Infection (UTI)","Painful or burning urination, odor, or cystitis; may be referred from PCP to Urology."
"Urodynamics (UDS)","Established patients only; ordered by Dr. Hutchinson-Colas or Dr. Solouki."
"Uterine Anomalies","Abnormalities of the uterus."
"Uterine Prolapse","Descent of uterus into the vaginal canal."
"Vaginal Anomalies","Structural differences or abnormalities in the vagina."
"Vaginal Bleeding","Bleeding from the vagina."
"Vaginal Blisters","Blister formation in the vaginal area."
"Vaginal Bumps / Lesions","Skin growths or lesions on the vagina."
"Vaginal Cyst","Fluid-filled sac in the vagina."
"Vaginal Discharge","Abnormal vaginal fluid secretion."
"Vaginal Infections","Infections of the vagina, e.g., bacterial or yeast."
"Vaginal Itching","Pruritus in the vaginal area."
"Vaginal Pain","Pain localized to the vagina."
"Vaginal Prolapse","Descent of vaginal walls or apex."
"Vaginal Rash","Rash in the vaginal area."
"Vaginitis","Vaginal issues including blisters, bumps, discharge, itching, infections, lesions, pain, or rash."
"Vescio - Vaginal Fistula","Abnormal connection involving the vagina."
"Vulvar Lesions","Abnormal growths or sores on the vulva."
"Vulvar Rash","Rash on the vulva."
"Vulvodynia","Chronic pain or discomfort in the vulvar region."
"Yeast Infection","White, cottage cheese-like discharge with itching or clumps."
"Abnormal Uterine Bleeding","Heavy, irregular menstruation, bleeding after sex."
